Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,49518.577487907,930729196214.29
2,ethereum,,3320.409169781,389578100858.60
3,cardano,,2.914502375,93774043227.65
4,binancecoin,,499.647192244,77267801785.69
5,tether,,1.000089194,65164646791.38
6,ripple,,1.248766863,58032501462.34
7,dogecoin,,0.318051814,41698354294.57
8,polkadot,,27.874502464,28634802760.25
9,usd-coin,,0.999911062,26909139886.03
10,solana,,75.970336411,22022469783.78
11,uniswap,,28.757286674,14987643095.19
12,chainlink,,28.500250744,12777030467.49
13,bitcoin-cash,,678.335653598,12775858318.92
14,litecoin,,187.048514142,12485977360.20
15,binance-usd,,0.999160483,12316181501.43
16,terra-luna,,29.696209079,12033052940.83
17,matic-network,,1.624774306,10526865542.41
18,internet-computer,,65.733925591,10215794123.76
19,wrapped-bitcoin,,49559.866012102,9640489398.77
20,stellar,,0.378586739,8928949667.74
21,vechain,,0.131683408,8800836028.10
22,ethereum-classic,,68.138344465,8800172291.48
23,avalanche-2,,46.365521192,8066378937.95
24,filecoin,,79.887986056,7909051611.22
25,theta-token,,7.825700434,7839027942.17
26,tron,,0.089818834,6443448570.06
27,cosmos,,21.838889151,6076534264.89
28,okb,,21.745991964,5815873778.27
29,dai,,1.000371681,5787999784.28
30,monero,,318.438615882,5725228050.10
31,compound-ether,,66.625994838,5432484675.92
32,eos,,5.597296994,5393431124.43
33,ftx-token,,50.649699694,5384572258.43
34,pancakeswap-token,,25.206944655,5374783400.73
35,aave,,407.993171879,5307882620.54
36,the-graph,,1.025007043,5094225429.57
37,compound-usd-coin,,0.022179419,4748945904.78
38,klay-token,,1.829631399,4568384578.71
39,axie-infinity,,76.822458884,4420818750.13
40,cdai,,0.021633830,4399449654.91
41,neo,,60.755776631,4297319101.20
42,shiba-inu,,0.000008192,4080774601.66
43,crypto-com-chain,,0.158933629,4015426348.42
44,algorand,,1.151900467,3929083625.35
45,tezos,,4.307103107,3630092552.69
46,maker,,3882.496070906,3502048522.10
47,amp-token,,0.068003243,3263956729.24
48,staked-ether,,3319.287356519,3249533664.98
49,iota,,1.152114913,3206499650.15
50,bitcoin-cash-sv,,167.037249585,3147685139.24
51,thorchain,,11.426321324,3002340570.39
52,kusama,,328.770015588,2958869220.35
53,bittorrent-old,,0.004482954,2958443436.36
54,elrond-erd-2,,149.066508229,2929327345.58
55,leo-token,,2.991705273,2833985422.90
56,dash,,270.657762468,2790557344.83
57,sushi,,13.762286185,2655641897.72
58,waves,,25.889818120,2587554600.58
59,compound-governance-token,,465.588233149,2516382160.12
60,celsius-degree-token,,5.912865119,2503396046.83
61,helium,,26.114422452,2484244658.84
62,hedera-hashgraph,,0.259443551,2455683517.76
63,huobi-token,,14.738397539,2452762845.60
64,near,,5.504823426,2417642290.08
65,quant-network,,181.756345492,2377019071.30
66,decred,,176.701233939,2341076188.39
67,havven,,13.603276651,2325858017.37
68,terrausd,,0.999961907,2294757506.54
69,chiliz,,0.406827430,2182809968.69
70,xdce-crowd-sale,,0.176443189,2157274506.88
71,enjincoin,,2.146475083,2006980524.94
72,holotoken,,0.011206117,1990440811.08
73,huobi-btc,,49593.022531395,1979679199.18
74,nem,,0.212844102,1920407893.65
75,zcash,,164.578145003,1890878754.87
76,theta-fuel,,0.349297133,1857888992.23
77,blockstack,,1.497946102,1573441615.07
78,telcoin,,0.027319756,1556511113.88
79,qtum,,13.809678468,1432677284.97
80,zilliqa,,0.115081204,1430636296.34
81,yearn-finance,,39988.682859677,1426780824.43
82,fantom,,0.551281070,1415722202.15
83,flow,,24.037329147,1403602449.62
84,true-usd,,0.998553348,1397334681.74
85,ravencoin,,0.146112855,1390513369.83
86,arweave,,31.305856023,1376159206.92
87,basic-attention-token,,0.891103200,1329540695.11
88,bitcoin-gold,,72.021574631,1262923006.99
89,audius,,3.085295937,1242353967.06
90,decentraland,,0.917822057,1220659783.45
91,harmony,,0.115584773,1214173054.47
92,xsushi,,16.232441818,1142400769.73
93,nexo,,1.962986388,1099333012.36
94,digibyte,,0.074808058,1092627154.86
95,kucoin-shares,,13.807640587,1078089955.89
96,swissborg,,1.111958540,1058632175.40
97,ethos,,3.872333024,1036852427.66
98,ontology,,1.166065467,1021326914.40
99,bancor,,4.324698926,1012392547.46
100,icon,,1.558389541,1012247292.11
101,siacoin,,0.020731107,1008032158.71
102,iostoken,,0.043036466,982955244.92
103,0x,,1.154441124,976440924.88
104,omisego,,6.792798154,955276898.81
105,paxos-standard,,1.000038881,943977829.39
106,constellation-labs,,0.385233741,937955242.09
107,nano,,7.001497477,934998845.81
108,mdex,,1.423694741,917691520.46
109,zencash,,79.761807054,914400222.88
110,uma,,14.244344739,891646427.82
111,curve-dao-token,,2.358647057,883588014.96
112,nxm,,127.329477175,879626284.81
113,deso,,84.960092545,872779846.57
114,pirate-chain,,4.550239133,845333950.84
115,ankr,,0.106802643,817475305.85
116,perpetual-protocol,,17.703317971,789741381.91
117,gatechain-token,,4.885229929,786104689.68
118,iotex,,0.080202551,761656811.09
119,titanswap,,7.608841652,758573350.28
120,ergo,,17.518377876,747193730.76
121,wazirx,,1.646525314,745130655.54
122,swipe,,3.802282336,713960440.92
123,lisk,,4.915175682,711815575.10
124,kava,,8.653797925,704124831.63
125,renbtc,,49614.311964610,701540195.98
