Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,415.641000000,6367983805.88
2,ethereum,,12.966897674,1008754617.76
3,ripple,,0.008175000,278692627.94
4,litecoin,,3.295268396,148041418.85
5,maidsafecoin,,0.102555000,46411512.61
6,dash,,5.793466128,36482348.40
7,dogecoin,,0.000230137,23820026.27
8,bitshares,,0.006344762,16159764.02
9,monero,,1.142916144,12929220.59
10,fedoracoin,,0.000042000,11795545.54
11,stellar,,0.002144708,11765178.51
12,peercoin,,0.498549578,11489903.12
13,nem,,0.001221368,10992313.60
14,nxt,,0.008394190,8394166.04
15,emercoin,,0.224267000,8363032.82
16,agoras-currency-of-tau,,0.166523000,6993966.00
17,namecoin,,0.493257976,6830291.17
18,bytecoin,,0.000030409,5455677.10
19,decred,,2.605221622,2935347.49
20,syscoin,,0.006740716,2890092.19
21,gridcoin-research,,0.007093364,2653817.72
22,blackcoin,,0.035108012,2644463.05
23,counterparty,,0.873964757,2296662.27
24,monacoin,,0.063278203,1917785.16
25,verge,,0.000182903,1822466.91
26,tether,,1.000000000,1451600.00
27,digibyte,,0.000211977,1294243.12
28,novacoin,,0.922873239,1219649.89
29,siacoin,,0.000103910,1203157.40
30,clams,,0.720491969,1177858.83
31,primecoin,,0.085497237,1174726.22
32,infinitecoin,,0.000012339,1117858.48
33,vcash,,0.078448082,1082684.73
34,vertcoin,,0.043349994,1000372.64
35,radium,,0.332926049,889666.29
36,gamecredits,,0.016333308,878246.88
37,worldcoin,,0.008410627,840302.80
38,reddcoin,,0.000029095,815508.22
39,swarm,,0.008021871,801749.38
40,cloakcoin,,0.168833374,797382.47
41,feathercoin,,0.007562611,778474.90
42,solarcoin,,0.020304063,695774.25
43,auroracoin,,0.085655844,673754.65
44,zetacoin,,0.003835463,628510.49
45,unobtanium,,3.126422444,615354.97
46,digitalnote,,0.000089106,610969.43
47,digitalcoin,,0.018294489,563404.27
48,diamond,,0.351632286,546572.30
49,riecoin,,0.016227400,349622.00
50,curecoin,,0.012660249,334626.96
51,maxcoin,,0.006721178,278656.22
52,blocknet,,0.059950567,234437.65
53,freicoin,,0.004353611,200103.27
54,signum,,0.000164621,183532.83
55,potcoin,,0.000838894,178298.89
56,electronicgulden,,0.012430840,176046.69
57,circuits-of-value,,0.000411879,164751.00
58,nav-coin,,0.002357795,140523.19
59,viacoin,,0.006207709,126366.14
60,maza,,0.000137162,118766.26
61,groestlcoin,,0.001676946,105283.27
62,okcash,,0.001578865,99579.99
63,hyperstake,,0.000241072,93004.55
64,myriadcoin,,0.000073364,81543.46
65,bitmark,,0.070634032,79152.50
66,artbyte,,0.000122959,79039.35
67,pivx,,0.004975810,76790.00
68,pandacoin,,0.000002302,74854.98
69,whitecoin,,0.000228603,70085.92
70,nexus,,0.001902770,65889.00
71,bean-cash,,0.000045719,57190.96
72,einsteinium,,0.000284257,55631.73
73,litedoge,,0.000004000,51337.21
74,terracoin,,0.003176000,45785.22
75,bitbar,,1.807559272,42884.34
76,canada-ecoin,,0.000266010,24434.25
77,pakcoin,,0.000774545,18517.00
78,bitcoin-plus,,0.159853000,13411.00
79,crown,,0.001604000,12320.64
80,globalboost,,0.001400000,635.49
81,freedomcoin,,0.001035130,0.00
82,augur,,12.884871000,0.00
