date_label,rank,symbol,name,coin_id
2018-01-01_t100,1,BTC,Bitcoin,bitcoin
2018-01-01_t100,2,ETH,Ethereum,ethereum
2018-01-01_t100,3,USDT,Tether,tether
2018-01-01_t100,4,SOL,Solana,solana
2018-01-01_t100,5,BNB,BNB,binancecoin
2018-01-01_t100,6,DOGE,Dogecoin,dogecoin
2018-01-01_t100,7,XRP,XRP,ripple
2018-01-01_t100,8,USDC,USDC,usd-coin
2018-01-01_t100,9,STETH,Lido Staked Ether,staked-ether
2018-01-01_t100,10,ADA,Cardano,cardano
2018-01-01_t100,11,SHIB,Shiba Inu,shiba-inu
2018-01-01_t100,12,TRX,TRON,tron
2018-01-01_t100,13,WSTETH,Wrapped stETH,wrapped-steth
2018-01-01_t100,14,AVAX,Avalanche,avalanche-2
2018-01-01_t100,15,TON,Toncoin,the-open-network
2018-01-01_t100,16,WBTC,Wrapped Bitcoin,wrapped-bitcoin
2018-01-01_t100,17,SUI,Sui,sui
2018-01-01_t100,18,WETH,WETH,weth
2018-01-01_t100,19,PEPE,Pepe,pepe
2018-01-01_t100,20,LINK,Chainlink,chainlink
2018-01-01_t100,21,BCH,Bitcoin Cash,bitcoin-cash
2018-01-01_t100,22,DOT,Polkadot,polkadot
2018-01-01_t100,23,LEO,LEO Token,leo-token
2018-01-01_t100,24,NEAR,NEAR Protocol,near
2018-01-01_t100,25,APT,Aptos,aptos
2018-01-01_t100,26,WEETH,Wrapped eETH,wrapped-eeth
2018-01-01_t100,27,LTC,Litecoin,litecoin
2018-01-01_t100,28,UNI,Uniswap,uniswap
2018-01-01_t100,29,USDS,USDS,usds
2018-01-01_t100,30,CRO,Cronos,crypto-com-chain
2018-01-01_t100,31,ICP,Internet Computer,internet-computer
2018-01-01_t100,32,TAO,Bittensor,bittensor
2018-01-01_t100,33,XLM,Stellar,stellar
2018-01-01_t100,34,WIF,dogwifhat,dogwifcoin
2018-01-01_t100,35,ETC,Ethereum Classic,ethereum-classic
2018-01-01_t100,36,FET,Artificial Superintelligence Alliance,fetch-ai
2018-01-01_t100,37,KAS,Kaspa,kaspa
2018-01-01_t100,38,DAI,Dai,dai
2018-01-01_t100,39,WBT,WhiteBIT Coin,whitebit
2018-01-01_t100,40,POL,POL (ex-MATIC),polygon-ecosystem-token
2018-01-01_t100,41,USDE,Ethena USDe,ethena-usde
2018-01-01_t100,42,STX,Stacks,blockstack
2018-01-01_t100,43,BONK,Bonk,bonk
2018-01-01_t100,44,RENDER,Render,render-token
2018-01-01_t100,45,XMR,Monero,monero
2018-01-01_t100,46,OKB,OKB,okb
2018-01-01_t100,47,AAVE,Aave,aave
2018-01-01_t100,48,ARB,Arbitrum,arbitrum
2018-01-01_t100,49,FIL,Filecoin,filecoin
2018-01-01_t100,50,MNT,Mantle,mantle
2018-01-01_t100,51,INJ,Injective,injective-protocol
2018-01-01_t100,52,FLOKI,FLOKI,floki
2018-01-01_t100,53,FDUSD,First Digital USD,first-digital-usd
2018-01-01_t100,54,HBAR,Hedera,hedera-hashgraph
2018-01-01_t100,55,VET,VeChain,vechain
2018-01-01_t100,56,TIA,Celestia,celestia
2018-01-01_t100,57,IMX,Immutable,immutable-x
2018-01-01_t100,58,OP,Optimism,optimism
2018-01-01_t100,59,FTM,Fantom,fantom
2018-01-01_t100,60,ATOM,Cosmos Hub,cosmos
2018-01-01_t100,61,BGB,Bitget Token,bitget-token
2018-01-01_t100,62,RUNE,THORChain,thorchain
2018-01-01_t100,63,WETH,Binance-Peg WETH,binance-peg-weth
2018-01-01_t100,64,SEI,Sei,sei-network
2018-01-01_t100,65,POPCAT,Popcat,popcat
2018-01-01_t100,66,GRT,The Graph,the-graph
2018-01-01_t100,67,RETH,Rocket Pool ETH,rocket-pool-eth
2018-01-01_t100,68,ENA,Ethena,ethena
