date_label,rank,symbol
2023-03-13_t100,1,BTC
2023-03-13_t100,2,ETH
2023-03-13_t100,3,USDT
2023-03-13_t100,4,SOL
2023-03-13_t100,5,BNB
2023-03-13_t100,6,XRP
2023-03-13_t100,7,DOGE
2023-03-13_t100,8,USDC
2023-03-13_t100,9,SUI
2023-03-13_t100,10,STETH
2023-03-13_t100,11,TON
2023-03-13_t100,12,ADA
2023-03-13_t100,13,RYO
2023-03-13_t100,14,TRX
2023-03-13_t100,15,SHIB
2023-03-13_t100,16,AVAX
2023-03-13_t100,17,LINK
2023-03-13_t100,18,APT
2023-03-13_t100,19,JUP
2023-03-13_t100,20,PEPE
2023-03-13_t100,21,BCH
2023-03-13_t100,22,ONDO
2023-03-13_t100,23,ENA
2023-03-13_t100,24,UNI
2023-03-13_t100,25,DOT
2023-03-13_t100,26,WBT
2023-03-13_t100,27,LEO
2023-03-13_t100,28,OP
2023-03-13_t100,29,NEAR
2023-03-13_t100,30,XLM
2023-03-13_t100,31,ARB
2023-03-13_t100,32,WEETH
2023-03-13_t100,33,LTC
2023-03-13_t100,34,TIA
2023-03-13_t100,35,CRO
2023-03-13_t100,36,STRK
2023-03-13_t100,37,MANTLE
2023-03-13_t100,38,ICP
2023-03-13_t100,39,EIGEN
2023-03-13_t100,40,TAO
2023-03-13_t100,41,WIF
2023-03-13_t100,42,PYTH
2023-03-13_t100,43,SEI
2023-03-13_t100,44,POL
2023-03-13_t100,45,MATIC
2023-03-13_t100,46,RNDR
2023-03-13_t100,47,ZRO
2023-03-13_t100,48,BONK
2023-03-13_t100,49,FET
2023-03-13_t100,50,VINCI
2023-03-13_t100,51,ETC
2023-03-13_t100,52,DAI
2023-03-13_t100,53,KAS
2023-03-13_t100,54,JTO
2023-03-13_t100,55,USDE
2023-03-13_t100,56,HBAR
2023-03-13_t100,57,STX
2023-03-13_t100,58,BGB
2023-03-13_t100,59,GRASS
2023-03-13_t100,60,GT
2023-03-13_t100,61,RAY
2023-03-13_t100,62,AAVE
2023-03-13_t100,63,RENDER
2023-03-13_t100,64,WBETH
2023-03-13_t100,65,IMX
2023-03-13_t100,66,ATH
2023-03-13_t100,67,FIL
2023-03-13_t100,68,W
2023-03-13_t100,69,INJ
2023-03-13_t100,70,FDUSD
2023-03-13_t100,71,RUNE
2023-03-13_t100,72,FLOKI
2023-03-13_t100,73,VET
2023-03-13_t100,74,FTM
2023-03-13_t100,75,ATOM
2023-03-13_t100,76,FTN
2023-03-13_t100,77,ARKM
2023-03-13_t100,78,CORE
2023-03-13_t100,79,SAGA
2023-03-13_t100,80,GRT
2023-03-13_t100,81,POPCAT
2023-03-13_t100,82,ALEO
2023-03-13_t100,83,AERO
2023-03-13_t100,84,ZK
2023-03-13_t100,85,IO
2023-03-13_t100,86,ENS
2023-03-13_t100,87,DYM
2023-03-13_t100,88,KCS
2023-03-13_t100,89,ETHFI
2023-03-13_t100,90,FLR
2023-03-13_t100,91,WLD
2023-03-13_t100,92,TAIKO
2023-03-13_t100,93,AXS
2023-03-13_t100,94,RONIN
2023-03-13_t100,95,ALGO
2023-03-13_t100,96,KMNO
2023-03-13_t100,97,THETA
2023-03-13_t100,98,PENDLE
2023-03-13_t100,99,SUPER
2023-03-13_t100,100,MKR
2022-03-13_t100,1,BTC
2022-03-13_t100,2,ETH
2022-03-13_t100,3,USDT
2022-03-13_t100,4,SOL
2022-03-13_t100,5,BNB
2022-03-13_t100,6,XRP
2022-03-13_t100,7,DOGE
2022-03-13_t100,8,USDC
2022-03-13_t100,9,SUI
2022-03-13_t100,10,STETH
2022-03-13_t100,11,TON
2022-03-13_t100,12,ADA
2022-03-13_t100,13,RYO
2022-03-13_t100,14,TRX
2022-03-13_t100,15,SHIB
2022-03-13_t100,16,AVAX
2022-03-13_t100,17,LINK
2022-03-13_t100,18,APT
2022-03-13_t100,19,JUP
2022-03-13_t100,20,PEPE
2022-03-13_t100,21,BCH
2022-03-13_t100,22,ENA
2022-03-13_t100,23,ONDO
2022-03-13_t100,24,UNI
